Winsize,n_Peaks,Overlap,Target_Zone,Time,DB_Size
30,5,0,32,1:11:24,25M
30,5,0,64,1:08:29,29M
30,5,15,8,1:17:24,29M
30,5,15,16,1:19:26,42M
30,5,15,32,1:20:33,62M
30,5,15,64,1:21:54,84M
30,5,23,8,1:36:59,62M
30,5,23,16,1:37:01,92M
30,5,23,32,1:39:46,146M
30,5,23,64,1:39:35,231M
30,5,29,8,5:18:19,239M
30,5,29,16,5:21:32,430M
30,5,29,32,5:40:39,745M
30,5,29,64,5:46:56,1264M
30,5,8,8,1:10:02,20M
30,5,8,16,1:09:52,28M
30,5,8,32,1:12:28,38M
30,5,8,64,1:10:24,47M
40,0,0,8,1:11:46,29M
40,0,0,16,1:10:58,43M
40,0,0,32,1:11:17,55M
40,0,0,64,1:12:53,61M
40,0,10,8,1:17:01,40M
40,0,10,16,1:17:45,62M
40,0,10,32,1:16:33,86M
40,0,10,64,1:16:39,100M
40,0,20,8,1:18:23,61M
40,0,20,16,1:18:08,99M
40,0,20,32,1:20:05,153M
40,0,20,64,1:20:55,198M
40,0,30,8,1:33:33,121M
40,0,30,16,1:39:20,205M
40,0,30,32,1:39:05,348M
40,0,30,64,1:43:26,542M
40,0,39,8,5:41:15,556M
40,0,39,16,6:05:25,1053M
40,0,39,32,6:45:23,1939M
40,0,39,64,7:56:40,3514M
40,3,0,8,1:15:21,29M
40,3,0,16,1:14:58,43M
40,3,0,32,1:15:31,55M
40,3,0,64,1:15:33,61M
40,3,10,8,1:13:52,40M
40,3,10,16,1:18:44,62M
40,3,10,32,1:18:13,86M
40,3,10,64,1:16:30,100M
40,3,20,8,1:18:19,61M
40,3,20,16,1:20:30,99M
40,3,20,32,1:21:55,153M
40,3,20,64,1:19:42,198M
40,3,30,8,1:34:56,121M
40,3,30,16,1:38:15,205M
40,3,30,32,1:40:27,348M
40,3,30,64,1:44:48,542M
40,3,39,8,5:46:07,556M
40,3,39,16,6:07:57,1053M
40,3,39,32,6:48:06,1937M
40,3,39,64,8:00:24,3512M
40,5,0,8,1:00:03,29M
40,5,0,16,1:16:49,43M
40,5,0,32,1:19:12,55M
40,5,0,64,1:15:19,61M
40,5,10,8,1:13:21,40M
40,5,10,16,1:14:46,62M
40,5,10,32,1:15:43,86M
40,5,10,64,1:17:11,100M
40,5,20,8,1:24:49,61M
40,5,20,16,1:21:26,99M
40,5,20,32,1:27:01,153M
40,5,20,64,1:21:02,198M
40,5,30,8,1:38:49,121M
40,5,30,16,1:37:23,205M
40,5,30,32,1:38:29,348M
40,5,30,64,1:42:09,542M
40,5,39,8,5:56:50,556M
40,5,39,16,6:04:53,1053M
40,5,39,32,6:45:15,1939M
40,5,39,64,7:53:09,3514M
50,0,0,8,1:00:04,47M
50,0,0,16,59:48,70M
50,0,0,32,1:00:46,87M
50,0,0,64,1:00:06,94M
50,0,13,8,1:02:10,67M
50,0,13,16,1:02:56,107M
50,0,13,32,1:02:55,144M
50,0,13,64,1:04:17,163M
50,0,25,8,1:06:33,102M
50,0,25,16,1:08:30,174M
50,0,25,32,1:09:23,263M
50,0,25,64,1:16:46,325M
50,0,38,8,1:32:55,209M
50,0,38,16,1:35:36,378M
50,0,38,32,1:44:04,651M
50,0,38,64,1:53:45,990M
50,0,49,8,6:35:20,966M
50,0,49,16,7:29:42,1876M
50,0,49,32,9:06:27,3541M
50,0,49,64,11:24:04,6599M
50,3,0,8,1:00:37,47M
50,3,0,16,59:56,70M
50,3,0,32,1:01:01,87M
50,3,0,64,1:00:56,94M
50,3,13,8,1:01:49,67M
50,3,13,16,1:02:03,106M
50,3,13,32,1:02:28,143M
50,3,13,64,1:03:35,163M
50,3,25,8,1:11:12,102M
50,3,25,16,1:09:00,174M
50,3,25,32,1:17:39,262M
50,3,25,64,1:19:43,324M
50,3,38,8,1:35:21,208M
50,3,38,16,1:38:59,377M
50,3,38,32,1:44:43,649M
50,3,38,64,1:47:45,987M
50,3,49,8,6:55:20,964M
50,3,49,16,7:25:41,1870M
50,3,49,32,8:51:46,3530M
50,3,49,64,11:22:58,6579M
50,5,0,8,59:25,47M
50,5,0,16,1:01:15,70M
50,5,0,32,59:25,87M
50,5,0,64,1:00:13,94M
50,5,13,8,1:01:12,67M
50,5,13,16,1:01:38,107M
50,5,13,32,1:04:01,144M
50,5,13,64,1:03:22,163M
50,5,25,8,1:06:55,102M
50,5,25,16,1:05:51,174M
50,5,25,32,1:12:32,263M
50,5,25,64,1:21:15,325M
50,5,38,8,1:35:16,209M
50,5,38,16,1:41:31,378M
50,5,38,32,1:45:16,651M
50,5,38,64,1:50:42,990M
50,5,49,8,6:40:56,966M
50,5,49,16,7:32:19,1876M
50,5,49,32,8:51:39,3540M
50,5,49,64,11:33:53,6599M
